given_name,family_name,date_of_birth,place_of_birth
Florence,Baldwin,1893-10-27,Invergordon
Mary,Squire,1851-10-12,Omagh
Jean,Ross,24-01-1918,Peebles
Sidney,Crofts,28-04-1934,Coatbridge
Edgar,Becker,1870-09-24,Annan
Frederick,Campsill,1881-07-10,Thurso
Alice,Withnall,1844-02-19,St Andrews
George,Jones,1852-03-07,Rothesay
Thomas,Gannon,15-06-1903,Galashiels
Beatrice,Hickman,1894-06-25,Dromore
Susan,Ward,09-09-1963,Kirkcaldy
Geoffrey,Burrows,02-07-1924,Dalry
Natalie,Staples,24-08-1982,Musselburgh
Priscila,Hall,07-11-1902,Aberdeen
Gladys,Savill,10-04-1900,Port Glasgow
Charles,Campion,1846-04-24,Alloa
Frederick,Parker,03-12-1963,Cupar
George,Anstey,26-04-1910,Stonehaven
Patricia,Tranter,12-08-1920,Hamilton
Brian,Mulgrew,11-09-1936,Carluke
Francis,Jackson,1884-02-24,Milngavie
George,Hills,1851-11-11,Newtownards
David,Davids,10-08-1953,Helensburgh
Mary,Stuart,1890-05-05,Grantown-on-Spey
Robert,Barron,19-01-1955,Stornoway
Elizabeth,Elliott,29-10-1941,Falkirk
Rena,Callaghan,25-05-1959,Forres
John,Thompson,1861-02-18,St Andrews
Florence,Turner,1856-01-27,Elgin
Thomas,Postles,1882-06-22,Kirkwall
Thomas,Hutchings,1876-12-13,Dromore
Ada,Godfrey,11-01-1930,Thurso
George,Francis,1897-08-02,West Calder
Ernest,Gladwell,1879-04-09,Kinross
James,Dooley,1876-11-14,Carluke
Margaret,Topping,10-10-1962,Selkirk
Jonathan,Benton,05-11-1967,Golspie
John,Davies,06-01-1966,West Calder
Francis,Capell,1891-07-18,Thurso
Sally,Laflin,12-06-1969,Banff
Mary,Bunting,1852-04-25,Montrose
Amanda,Cartwright,17-07-1974,Galashiels
Elizabeth,Thomson,1876-07-07,Galashiels
William,Johnston,31-03-1974,Carluke
Agnes,Hughes,1865-01-06,Carluke
Sarah,Mole,24-07-1967,St Andrews
Alfred,Page,16-04-1923,Castle Douglas
Oliver,Goodall,30-12-1907,Ballymoney
Mary,Percival,1872-06-30,Dalbeattie
Elizabeth,Dean,1840-01-14,Stranraer
Male,Creyke,1881-01-26,Cookstown
Louisa,Dring,1883-04-29,Dalkeith
Jamal,Hayat,04-01-1978,Paisley
Margaret,Grieve,04-12-1913,Fraserburgh
Arthur,Thompson,1877-12-01,Londonderry
James,Harris,23-04-1982,Dumbarton
Agnes,Reilly,27-10-1911,Downpatrick
Wilfred,Roberts,19-02-1908,Keith
James,Jenkins,1850-12-15,Dufftown
Michael,Bell,14-08-1951,Motherwell
Jillian,Clark,12-06-1951,Portadown
Percy,Edge,13-03-1910,Blairgowrie
Benjamin,Hawes,24-02-1913,Galashiels
Mary,Ferguson,1884-09-03,Paisley
John,Tugwell,04-12-1950,Inverness
Christopher,Biake,21-08-1975,Linlithgow
Joseph,Cottingham,1855-10-30,Banff
David,Webb,27-06-1945,Ballymoney
Ethel,Dean,1883-12-09,Rothesay
William,Stothert,1851-10-12,Haddington
Eleanor,White,1883-04-17,Larne
Thomas,Blaber,1865-04-10,Newtownards
Thomas,Rowan,1877-07-05,Buckie
Joseph,Holmes,1898-07-25,Brechin
John,Hammond,1869-01-09,Portadown
Rose,Finch,1893-04-10,Banbridge
Eliza,Warren,1846-05-24,Belfast
Emily,Watkins,1875-01-27,Cupar
Martin,Havay,1847-11-08,Golspie
Eliza,Street,1848-03-04,Newtownards
William,Hipkiss,1860-06-04,Castle Douglas
Annie,Weston,25-10-1908,Armagh
Frederick,Avis,15-01-1944,Lisburn
Christine,Brook,12-08-1956,Ballymoney
Martha,Walker,1864-07-05,Rothesay
Selina,Britton,1876-01-31,Invergordon
Gail,Autey,06-07-1964,Dalkeith
John,Donovan,03-11-1938,Bridge of Allan
Diane,Fleming,23-07-1947,Kilsyth
Ann,Kerr,1868-12-08,Armagh
Thomas,Hollingdale,1875-11-09,Lockerbie
Dorothy,Hick,15-12-1916,Carluke
Florence,England,1892-05-01,Omagh
James,Davies,1859-06-13,Dumfries
Timothy,Cooper,26-05-1942,Alloa
Eliza,Thompson,1880-10-30,Dundee
Royston,Gray,01-11-1918,Enniskillen
Francis,Watts,1883-02-03,Lanark
Louisa,Burton,21-02-1901,Hamilton
Frank,Forster,26-06-1942,Selkirk
Eowyn,Crossley,09-03-1970,Cupar
Emily,Antell,06-02-1905,Aberdeen
Dennis,Martin,23-02-1947,Peebles
Rose,Wild,1885-04-14,Portadown
Dennis,Johnson,15-01-1918,Tillicoultry
Ellen,Upton,1862-05-23,Ayr
Sarah,Betts,22-04-1900,Kelso
Minnie,Hughes,25-11-1912,Arbroath
Eliza,Meal,1860-10-02,Stranraer
Albert,Gabriel,13-07-1902,Kirkintilloch
Jane,Cook,1843-09-14,Arbroath
Dennis,Bottomley,21-09-1923,Londonderry
Stephen,Batchelor,17-04-1963,Falkirk
Harriett,Hill,12-10-1910,Coleraine
Jean,Wilkinson,16-06-1936,Bathgate
Jeannie,Hickman,25-12-1917,Annan
Linda,Kent,27-09-1944,Edinburgh
Robert,Challinder,1861-04-17,Peebles
Mary,Withnell,1886-10-31,Castle Douglas
Bessie,Brundrett,27-12-1905,Lanark
Patricia,Purcell,28-08-1941,Milngavie
Winifred,Winstanley,16-02-1938,Annan
Timothy,Brenchley,1852-10-21,Forfar
Elizabeth,Grey,1858-08-29,Tillicoultry
Isabel,Whitta,29-06-1930,West Calder
Charles,Noke,1850-12-20,Montrose
Lilian,Crowe,1896-02-07,Huntly
Ellen,Cobb,1869-11-04,Port Glasgow
Martha,Banks,1865-10-22,Blairgowrie
James,Priddle,15-03-1934,Barrhead
Harry,Booth,1877-12-01,Dalbeattie
Henry,Ballett,1886-11-24,Stonehaven
Anne,Willis,1861-08-17,Londonderry
Edward,Davison,1854-05-31,Motherwell
George,Saunders,1878-07-29,Huntly
Elizabeth,Hollingham,1854-11-22,Selkirk
Catherine,Malkin,15-10-1973,Helensburgh
Alfred,Hood,1881-03-23,Cupar
James,Mather,1858-01-19,Keith
Elsie,Capewell,06-06-1902,Langholm
Stella,Edwards,11-01-1930,Aberdeen
Leonard,Ettridge,26-11-1930,Kirriemuir
William,Hawke,1884-07-16,Lanark
Olive,Thomas,27-03-1919,Brechin
Christine,Coe,24-04-1954,Barrhead
Maria,Cowdry,1862-04-29,Dungannon
Sarah,Pitt,1851-12-17,Annan
Julia,Adkin,16-12-1957,Rothesay
Julie,Coombs,23-02-1965,Tillicoultry
David,Fearney,1867-08-31,Cupar
Robert,Fossett,1869-05-10,Portsoy
Emily,Clement,1866-05-26,Edinburgh
Harriet,Hall,1899-08-03,Linlithgow
Fanny,Dufosee,1857-01-02,Carluke
Amelia,Stansfield,1858-08-06,Coatbridge
Margaret,Cowley,30-08-1905,Kilmarnock
Charles,Pilcher,1852-11-08,Stirling
Arthur,Biss,1879-10-13,Elgin
Kate,Jones,14-02-1972,Lanark
Harold,Gossling,1878-03-11,Belfast
Evelyn,Thornley,13-06-1905,Annan
Leslie,Larchet,25-02-1947,Wishaw
Eunice,Molyneux,1893-12-03,Kinross
Marian,Glover,14-04-1930,Selkirk
Caroline,Quinlan,13-02-1977,Dingwall
Elizabeth,Davies,1877-09-07,Hawick
Susan,Tarling,27-12-1951,Port Glasgow
James,Vernon,13-12-1950,Tillicoultry
Wenda,Boniface,11-04-1943,Dunfermline
Elizabeth,White,1888-01-27,Fraserburgh
Kenneth,Rayner,10-05-1951,Kirkintilloch
Lynda,Fitch,20-08-1945,Lerwick
Elizabeth,Hunt,1848-01-23,Forfar
Ann,Bingham,16-09-1932,Dalry
Percy,Mitchem,1892-10-02,Wishaw
Andrew,Wheaver,04-12-1964,Peterhead
Linda,Burton,17-07-1951,Downpatrick
Ellen,Hardwick,1885-08-09,Kirkcaldy
James,Hunter,02-05-1901,Selkirk
Ellen,Parkinson,1838-06-02,Alloa
Leila,Harman,22-02-1903,Forres
Harriet,Sherwood,1881-03-09,Dromore
Oliver,Hollands,1845-02-10,Helensburgh
Henry,Hills,1842-02-08,Leven
James,Robinson,1877-06-26,Anstruther
Samuel,Hill,1878-07-20,Castle Douglas
George,Mullard,09-11-1915,Castle Douglas
Fred,Lambert,1885-03-14,Crieff
William,Jones,1891-10-28,Keith
George,King,08-07-1917,Dingwall
Mary,Tipping,16-02-1915,Golspie
Sheila,West,20-04-1934,Glasgow
George,Balding,1858-11-27,Kilmarnock
Cecil,Hill,1898-06-13,Dromore
John,Thomas,1845-10-01,Glasgow
Carly,Holmes,27-04-1976,Campbeltown
Robert,De main,1874-01-16,Kelso
Nancy,Underwood,30-11-1932,Belfast
Gary,Thompson,07-03-1961,Irvine
Albert,Birch,04-07-1907,Dalkeith
Elsie,Jones,31-08-1915,Bangor
Emma,Brown,1858-12-22,Newry
Christopher,Horner,20-05-1980,Stranraer
Guy,Cogan,29-01-1959,Keith
George,Pymm,1889-07-17,Omagh
John,Dike,1863-12-22,Milngavie
Stephen,Moran,10-07-1954,Paisley
Edward,Bolton,1886-10-09,Arbroath
Ethel,Birch,10-01-1902,Dromore
Nigel,Cottrell,03-12-1955,Port Glasgow
Frank,Clark,20-06-1902,Strabane
Ellis,Yells,1896-10-03,Keith
James,Solly,19-02-1928,Montrose
Charles,Strong,1847-12-29,Musselburgh
Thomas,Spencer,1838-12-01,Montrose
Amelia,Covell,1876-11-10,Wick
Philip,Taubenheim,06-07-1957,Kirkwall
George,Young,26-06-1934,Barrhead
Adam,Morgan,10-04-1977,Leven
Gertrude,Harmer,1879-10-05,Dromore
Martyn,Wilkins,04-09-1982,Kelso
Victor,Leighton,19-05-1950,Aberdeen
Evelyn,Murphy,20-06-1924,Elgin
Eleanor,Marren,1892-03-12,Brechin
Pauline,Kelly,24-11-1942,Kirriemuir
Elizabeth,Mcloughlin,1875-03-26,Kirkintilloch
David,Benjamin,04-03-1913,Greenock
Mary,Powel,1846-08-25,Stonehaven
Mary,Evans,1871-02-02,Thurso
Teresa,Riley,27-02-1932,Dumbarton
James,Bagwell,1880-01-14,Anstruther
Lucy,Lenton,1863-09-25,Dumfries
Paul,Ralph,21-08-1963,Invergordon
Paul,Hill,23-11-1957,Helensburgh
Harry lewis,Billson,1858-07-31,Enniskillen
Susanna,Thompson,1866-01-22,Blairgowrie
Herbert,Wilson,1868-04-10,Ballymena
John,Boyle,04-08-1926,Dalkeith
Denis,Mcglynn,29-08-1922,Castle Douglas
Margaret,Coyle,1850-03-17,Coatbridge
Thomas,Clough,1846-04-30,Barrhead
Keith,Bettany,31-05-1941,Arbroath
Jeanette,Prior,12-09-1959,Campbeltown
Elsie,Hollyoak,12-01-1914,Kirkintilloch
Kirstin,Steenson,10-07-1971,St Andrews
John,Manwaring,1844-04-29,Bellshill
Marjorie,Wadsworth,07-03-1912,Langholm
Thomas,Watson,11-09-1905,Aberdeen
Vivian,Bloomfield,12-05-1917,Arbroath
Martha,Rees,1841-01-07,Haddington
Harriet,Angliss,1883-05-04,Kirkcaldy
Martha,Thatcher,1865-12-17,Portadown
Harry,Blackford,1891-01-18,Paisley
Sheila,Simpson,23-08-1932,Dumbarton
John,Cook,1883-03-08,Jedburgh
Anne,Walker,10-03-1952,Belfast
Thomas,Dixon,1862-01-10,Annan
Mary,Murrall,1853-09-10,Banbridge
John,Richards,16-04-1929,Dalbeattie
Jonathan,Howlett,05-01-1983,Barrhead
Dennis,Smith,23-06-1930,Campbeltown
Benjamin,Ferguson,02-03-1925,Clydebank
Edgar,Williams,02-03-1915,Airdrie
Robert,Williams,1850-03-24,Armagh
Grace,Anderson,1883-11-21,Peterhead
John,Holmes,04-07-1959,Peebles
David,Corbett,16-12-1947,Banff
Constance,Satchell,1893-09-18,Downpatrick
Edward,Bradley,1855-04-27,Fraserburgh
John,Peake,1878-08-26,Huntly
Sarah,Hardcastle,25-02-1945,Cupar
Jennifer,Metcalf,11-04-1974,Kirkcaldy
Nicholas,Treble,06-11-1959,Peterhead
William,Whale,1871-06-02,Buckie
Frank,Bayley,1871-08-24,Lerwick
Debra,Poole,13-05-1969,Kirriemuir
Valerie,Alway,23-03-1939,Keith
Emma,Brothwood,07-07-1962,Stranraer
Viola,Sankey,1887-05-20,Carluke
Marie,Barnes,22-05-1953,Ardrossan
Gilbert,Cole,1894-11-21,Barrhead
Samuel,Beaven,1885-10-07,Londonderry
Peter,Hanford,13-05-1921,Kirriemuir
Philip,Windle,10-03-1952,Kirkintilloch
Thomas,Humphries,1875-09-24,Bathgate
Harry,Bridges,15-05-1914,Glasgow
Louisa,Skelton,1881-02-06,Omagh
Arthur,Monkman,1892-02-01,Annan
Nellie,Lisnry,1896-06-15,Lockerbie
Stanley,Wall,22-12-1926,Forres
Linda,Saul,13-01-1950,Barrhead
Betty,Beaumont,1851-01-02,Linlithgow
Annie,Evans,20-04-1905,Castle Douglas
George,Kenwright,17-09-1925,Fraserburgh
Alice,Archer,1868-06-04,Kirkwall
Rebecca,Gardner,09-01-1981,Nairn
Reuben,Hayes,21-02-1918,Lerwick
Gladys,Cable,14-10-1907,Portsoy
Selina,Read,1845-05-08,Crieff
Stephen,Ball,12-05-1952,Stranraer
Anthony,Lansley,26-01-1960,Invergordon
Brenda,Upton,26-03-1948,Kelso
Charles,Gregory,1871-11-26,Wishaw
William,Reynolds,1899-06-02,Port Glasgow
Francis,Davies,1883-09-04,Dalkeith
Thelma,Whitehead,04-05-1936,Banbridge
Mary,Davies,1889-04-12,Dalbeattie
Sarah,Dixon,25-12-1910,Dumfries
Leslie,Snow,21-06-1952,Crieff
William,Nie,1899-03-30,Lockerbie
Mira,Orsi,1864-02-25,Tillicoultry
Ethel,Davies,1897-10-13,Dunfermline
Willie,Stephens,1872-02-06,Motherwell
Denise,Bellerby,02-07-1948,Ballymena
Frank,Healey,29-04-1956,Portsoy
Lilian,Raggatt,1893-05-29,Dumfries
Charles,Byrne,10-04-1951,Falkirk
Adrian,Stimpson,18-12-1966,Dungannon
Gail,Rogers,11-04-1980,Brechin
James,Lewington,1860-01-24,Dunfermline
Edna,Willsher,10-06-1932,Kilsyth
Suzanne,Rich,05-01-1978,Bathgate
Albert,Bateman,1887-01-11,Brechin
Peter,Jones,24-01-1955,Kilsyth
Louisa,Holmes,07-03-1969,Nairn
George,Ridgway,21-10-1910,Lockerbie
Helen,Lappage,01-05-1962,Irvine
Sydney,Riley,19-05-1916,Omagh
Gail,Wright,02-05-1952,Kirkintilloch
Helen,Smith,1875-09-30,Campbeltown
Ethel,Baker,1895-11-14,Omagh
Rhoda,Frith,03-09-1904,Haddington
George,Wagstaff,1846-09-14,Helensburgh
Douglas,Aulton,1896-09-09,Wishaw
Doreen,Cockayne,30-07-1932,Campbeltown
Leonard,Westbury,19-07-1903,Tillicoultry
John,Fearn,1899-09-29,Belfast
Sandra,Hawley,17-06-1948,Ballymena
Ian,Marsh,21-06-1959,Kirriemuir
Rita,Hardcastle,07-01-1936,Hawick
Sidney,Plowman,25-09-1900,Dumfries
Eliza,Howard,1898-01-03,Forres
Ada,Evans,14-05-1908,Linlithgow
Ellis,Glover,1872-02-27,Glasgow
Gladys,Oliver,19-05-1923,Lerwick
Alice,Higgins,14-08-1928,Clydebank
Frances,Smith,1884-05-31,Wick
Arthur,Coppard,16-05-1909,Stranraer
John,Garratt,08-09-1900,Lerwick
John,Bruffell,1858-08-21,West Calder
Harold,Edwards,20-09-1900,Dundee
James,Davis,1893-06-14,Thurso
Patricia,Hewett,02-06-1939,Banff
Samuel,Dawson,15-04-1955,Newry
Frank,Stickland,17-03-1907,Kilsyth
Thomas,Staples,1867-11-28,Portadown
Male,Jackson,1848-11-12,Ballymena
Doris,Kerrison,31-01-1914,Newry
Elisha,Godwin,1880-03-26,Anstruther
Stephanie,Hadlum,08-05-1957,Selkirk
Sarah,Jarvis,14-07-1968,Airdrie
Fred,Jesson,1886-06-11,Kirkwall
Minnie,Emmerson,1897-10-27,Glasgow
Tracy,Robertson,12-11-1975,Jedburgh
Derek,Hammersley,30-12-1946,Lurgan
Ellin,Griffiths,1889-08-29,Lisburn
Frederick,Wynne,1875-08-04,Paisley
James,Lomas,26-06-1943,Downpatrick
John,Neligan,16-01-1952,Newtownards
Jane,Elliott,05-11-1947,Strabane
Jonathan,Adams,17-12-1978,Dunfermline
Adrian,Searl,26-01-1956,Brechin
Louisa,Wilson,1858-01-02,Hamilton
Kate,Ponsford,1872-03-31,Ballymoney
Laura,Self,1865-03-30,Dromore
Samuel,Day,1885-11-29,Annan
Rupinder,Mangat,12-10-1972,Newry
Olive,Gillingham,1886-02-14,Musselburgh
Samuel,Basford,1840-11-13,Elgin
Violet,Williamson,1884-02-03,Galashiels
Lorraine,Foster,05-07-1972,Linlithgow
John,Bean,11-12-1914,Brechin
Catherine,Roberts,1866-08-14,Dalry
Sarah,Tomkins,1852-09-28,Omagh
Constance,Davey,1855-08-10,Dalkeith
Linda,Horrell,20-11-1953,Cookstown
Nicholas,Gascoyne,07-11-1976,Armagh
Tammy,Strudwick,11-03-1976,Lisburn
Robert,Rock,07-03-1952,Stirling
William,Bolton,1850-04-21,Forfar
Blanche,North,1874-11-15,Airdrie
Peter,Forster,1883-07-29,Peterhead
Thomas,Wright,1852-09-04,Thurso
Amy,Lines,1899-01-08,Galashiels
Kate,Fitzmaurice,1863-11-20,Selkirk
Frederick,Bignold,1883-02-09,Downpatrick
Kelly,Windebank,18-06-1976,Brechin
Felix,Shires,24-03-1958,Dumfries
Edward,Broadgate,1890-06-30,Cupar
Peter,Williams,19-07-1976,Bangor
William,Brimblecombe,14-11-1907,Kirkintilloch
Barbara,Ballard,10-01-1956,Dumfries
Hilda,Barnes,27-07-1918,Cookstown
George,Farmiloe,1859-04-28,Dungannon
Esther,Hampton,1897-11-26,Belfast
Lisa,Parkinson,03-02-1971,Paisley
Anne,Desborough,28-12-1943,Invergordon
Zena,Millard,07-06-1908,Kelso
Richard,Hedge,1838-01-24,Thurso
Steven,Wilson,31-10-1962,Cookstown
Elsie,Wordsworth,1896-09-22,Cupar
Catherine,Kearney,1874-10-29,Belfast
Agnes,Barker,12-02-1901,Kilsyth
Margaret,Chapman,07-04-1945,Portsoy
Melanie,Hudson,13-04-1967,Perth
Martin,Webb,27-09-1951,Newry
Brian,Donnelly,26-06-1937,Invergordon
Sofia,Thatcher,29-03-1970,Wick
Danielle,Norman,12-04-1979,Portsoy
Roy,Massey,22-09-1966,Strabane
Ann,Hicks,1842-03-18,Lurgan
Maria,Jones,1884-07-15,Leven
Sharon,Wagg,18-05-1964,Larne
Vera,Clay,25-11-1917,Stranraer
Martha,Hall,1853-03-27,Oban
John,Erwin,1866-10-03,Armagh
Fred,Brader,01-04-1938,Crieff
Veronica,Moore,24-12-1952,Hamilton
Parminder,Bhui,02-02-1981,Perth
Harry,Dawson,1865-07-29,Lerwick
Samuel,Hardcastle,1871-08-04,Bridge of Allan
Roger,Moore,11-12-1960,Dumbarton
Roberta,Lawler,15-03-1975,Kirkcaldy
Gertrude,Kirby,1891-04-14,Bathgate
Lillian,Dimmock,14-05-1916,Kirkwall
Deborah,Day,11-09-1968,Larne
John,Turner,11-04-1952,Ardrossan
Gary,Harbottle,02-07-1970,Cupar
Giles,Archibald,17-11-1951,Stranraer
Eva,Cordell,1895-03-11,Portsoy
Dora,Newell,1882-03-23,Motherwell
John,Bradley,29-07-1946,Forres
Lilian,Kashnor,15-06-1908,Banbridge
Kevin,Russell,01-05-1964,Armagh
Hannah,Croker,1864-10-01,Fraserburgh
John,Herbert,1880-01-02,Dungannon
John,Dickinson,11-01-1920,Stranraer
William,Mcnalty,1861-06-22,Carluke
John,Handley,1870-11-25,Dunfermline
Eleanor,Wilkes,1873-10-18,Coatbridge
Michael,Hunt,24-03-1958,Annan
Marjorie,Hudson,06-11-1920,Blairgowrie
Ben,Toohey,18-10-1975,Airdrie
Brenda,Lincoln,27-06-1930,Portadown
Eleanora,Slaney,03-08-1926,Cookstown
Joseph,Rohan,25-03-1909,Banbridge
Mary,Johnson,1875-12-28,Omagh
James,Butterworth,1864-08-13,Downpatrick
John,Pickup,1882-05-16,Portsoy
Kenneth,Robson,23-03-1966,Kinross
Elsie,Dye,27-05-1913,Bridge of Allan
Victor,Nicholson,22-12-1916,Lerwick
Janet,Webb,12-04-1927,Forfar
Nikola,Roe,26-11-1972,Port Glasgow
Sally,Ormrod,19-10-1933,Armagh
Esther,Salter,1880-03-28,Larne
Maria,Jenkins,1862-12-16,Perth
Rees,Price,1854-03-13,Selkirk
John,Swanborough,31-08-1935,Newtownards
Oscar,White,11-04-1915,Dumfries
Wendy,Carpenter,08-06-1951,Clydebank
Joan,Perks,24-03-1941,Linlithgow
John,Massey,13-12-1906,Cupar
Mandeep,Padan,07-09-1981,Dunfermline
Irene,Brown,15-02-1968,Lerwick
Charles,Fisk,1882-03-14,Dungannon
Lilian,Ames,1891-12-26,Invergordon
Anne,Fisher,16-09-1938,Dungannon
Leslie,Hamill,25-11-1953,Nairn
George,Barker,1861-08-09,Linlithgow
Jean,Hutton,04-04-1938,Forres
June,Freestone,24-03-1941,Kirkcaldy
Alice,Needham,19-02-1905,Stirling
Rose,Catesby,1850-11-01,Edinburgh
Thomas,Lewis,1868-06-18,Newry
Sarah,Clark,1885-06-02,Lurgan
Stanley,Broadley,10-08-1915,Dundee
Samuel,Wolfindale,16-07-1914,Barrhead
James,Brook,1868-12-01,Dumbarton
Annie,Cooper,1893-03-24,Campbeltown
William,Travis,1891-04-28,Londonderry
George,Thompson,24-07-1959,Lanark
Christine,Bowyer,08-03-1949,Peebles
Stephen,Lunn,1881-09-15,Tillicoultry
Sarah,Matthews,1852-05-27,Alloa
Alan,Allwood,15-05-1955,Bellshill
Diana,Cooper,14-12-1943,Haddington
Beryl,Willetts,28-09-1929,Aberdeen
Jenine,Gale,21-08-1974,Dumfries
John,Naylor,12-06-1934,Newton Stewart
George,Porch,1855-04-25,Enniskillen
Alice,Hind,1881-01-09,Golspie
William,Hogan,23-09-1971,Strabane
Derek,Overthrow,11-08-1965,Glasgow
Tom,Whitman,1890-12-10,Downpatrick
John,Harvey,1876-05-14,Lockerbie
Thomas,Mason,1851-12-16,Londonderry
Sidney,Seymour,05-02-1924,Tillicoultry
Roy,Tilley,18-05-1935,Strabane
Caroline,Murphy,1871-04-23,Banbridge
Maurice,Cobby,28-09-1925,Keith
Harry,Vernam,1870-03-22,Selkirk
Maria,Johnston,1885-01-30,Lisburn
Gertrude,Hulbert,1875-02-22,Motherwell
Alex,Oldale,21-05-1982,Coleraine
Evelyn,Gill,1891-10-26,Falkirk
Lily,Lineham,11-11-1905,Armagh
James,Willder,1881-06-06,Fraserburgh
Susan,Hordle,30-04-1951,Bathgate
Christine,Curry,19-05-1965,Jedburgh
Cyril,Little,11-08-1903,Barrhead
Vanessa,Daw,06-04-1971,Newtownards
Thomas,Woodman,1869-01-22,Stornoway
Alice,Beecroft,1879-05-03,Tillicoultry
Sidney,Robinson,1865-09-04,Paisley
Bernard,Webster,28-08-1945,Armagh
Lorren,Purvis,20-02-1962,Oban
Victoria,Guthrie,06-07-1970,Kirkcaldy
Gloria,Robinson,14-03-1950,Clydebank
William,Hatchman,1883-12-14,Dumbarton
Lewis,West,1878-01-10,Downpatrick
Alice,Pedder,1850-12-18,Kilmarnock
Simeon,Eyres,07-08-1913,Blairgowrie
Joseph,Ball,31-01-1909,Stranraer
Maggie,Dickinson,16-12-1904,Annan
Horace,Briden,1881-06-12,Ballymoney
Mary,Grenfell,1841-10-22,Kelso
George,Wildman,09-04-1906,Irvine
Elizabeth,Temple,08-05-1951,Kirkintilloch
John,Davis,1851-08-19,Bangor
Emily,Gardner,1890-03-04,Lurgan
Alfred,Wilkinson,1866-07-31,Kelso
James,Shilton,08-03-1929,Newtownards
Maureen,Paveling,30-01-1935,Larne
Ernest,Smith,1894-09-23,Kinross
Molly,Bell,04-05-1922,Coleraine
Arnold,Fernley,22-04-1904,Downpatrick
William,Riley,1895-06-05,Newry
Neil,Skene,27-12-1959,Lurgan
Kathleen,Bateman,04-01-1928,Carrickfergus
Deborah,Carling,20-02-1965,Blairgowrie
Jane,Earl,1868-03-02,Omagh
Dorothy,Prestidge,21-05-1921,Kilmarnock
Hannah,Scott,1887-02-16,Leven
James,Parry,24-04-1961,Wick
David,Hanton,06-11-1958,Banbridge
